source,date.start,date.end,gear,stratum,mesh,length,soak.min,chinook,chum,sockeye
LE,6/30/2016,6/30/2016,Drift,C,5.5,50,170,1,2,0
LE,6/30/2016,6/30/2016,Drift,C,5.5,100,276,0,3,1
LE,6/30/2016,6/30/2016,Drift,C,6,100,100,3,10,40
LE,6/30/2016,6/30/2016,Drift,B,6,150,205,3,11,29
LE,6/30/2016,6/30/2016,Drift,C,6,150,130,0,2,8
LE,6/30/2016,6/30/2016,Drift,C,6,150,110,1,0,11
LE,6/30/2016,6/30/2016,Drift,C,5,100,120,1,0,3
LE,6/30/2016,6/30/2016,Drift,C,5.5,150,120,1,2,6
LE,6/30/2016,6/30/2016,Drift,C,6,189,95,2,3,8
