date,announcement,start_time,end_time,flights_planned,flights_flown
6/12/2016,3-KS-02-16,12:01,23:59,2,2
6/16/2016,3-KS-04-16,12:01,23:59,2,2
6/17/2016,3-KS-04-16,0:00,11:59,1,1
6/21/2016,3-KS-06-16,12:01,23:59,2,2
6/22/2016,3-KS-06-16,0:00,23:59,3,3
6/23/2016,3-KS-06-16,0:00,23:59,3,2
6/24/2016,3-KS-06-16,0:00,11:59,1,0
6/29/2016,3-KS-07-16,12:01,23:59,2,2
6/30/2016,3-KS-07-16,0:00,23:59,2,2
7/1/2016,3-KS-07-16,0:00,23:59,2,2
7/2/2016,3-KS-07-16,0:00,11:59,1,1
6/12/2017,3-KS-03-17,12:01,23:59,3,3
6/24/2017,3-KS-04-17,12:01,23:59,3,3
7/1/2017,3-KS-05-17,15:00,21:00,2,2
7/3/2017,3-KS-06-17,12:01,23:59,3,3
6/12/2018,3-KS-04-18,10:00,22:00,3,3
6/16/2018,3-KS-05-18,10:00,22:00,3,2
6/24/2018,3-KS-06-18,10:00,22:00,3,3
6/29/2018,3-KS-08-18,12:00,18:00,2,2
7/5/2018,3-KS-09-18,9:00,21:00,3,2
6/12/2019,3-KS-06-19,6:00,18:00,3,3
6/15/2019,3-KS-06-19,6:00,18:00,3,3
6/19/2019,3-KS-06-19,6:00,18:00,3,2
6/22/2019,3-KS-06-19,6:00,18:00,3,2
6/12/2020,3-KS-03-20,6:00,18:00,2,2
6/15/2020,3-KS-03-20,6:00,18:00,2,2
6/18/2020,3-KS-03-20,6:00,18:00,2,2
6/24/2020,3-KS-05-20,6:00,18:00,2,0
6/12/2021,3-KS-01-21,6:00,18:00,2,2
6/15/2021,3-KS-01-21,6:00,18:00,2,2
6/19/2021,3-KS-02-21,6:00,18:00,2,2
6/28/2021,3-S-WR-07-21,10:00,22:00,2,2
7/2/2021,3-KS-03-21,6:00,15:00,1,1
7/9/2021,3-KS-03-21,6:00,18:00,2,0
7/16/2021,3-KS-03-21,6:00,18:00,1,1
6/12/2022,3-KS-01-22,6:00,18:00,2,2
6/16/2022,3-KS-01-22,6:00,18:00,2,2
6/22/2022,3-KS-02-22,6:00,18:00,2,2
7/9/2022,3-KS-05-22,6:00,18:00,2,2
6/12/2023,NA,7:00,19:00,1,1
6/17/2023,NA,7:00,19:00,2,2
6/23/2023,NA,7:00,19:00,2,2
7/11/2023,NA,9:00,15:00,1,1
8/3/2023,NA,9:00,21:00,1,1
8/9/2023,NA,9:00,21:00,1,1
8/12/2023,NA,9:00,21:00,1,1
